@relation training

@attribute 'age' numeric
@attribute 'gender' {male,female}
@attribute 'friend_count' numeric
@attribute 'message_score' numeric
@attribute 'month' {1,2,3,4,5,6,7,8,9,10,11,12}
@attribute 'time_of_day' {early_morning,morning,noon,afternoon,evening,night,post_midnight}
@attribute 'time_since_last' numeric
@attribute 'average_user_likes' numeric
@attribute 'likes' numeric 

@data
?,female,431,0.591079901694,5,night,?,7.16,1.79175946923
20,male,848,0.887672686085,11,evening,14,2.56,1.94591014906
?,male,1292,0.580356471527,12,post_midnight,14,4.41,1.60943791243
?,female,945,0.79303872387,6,afternoon,62,8.765,2.19722457734
?,male,892,0.709818997756,8,night,189,17.05,3.13549421593
?,female,324,0.615348101682,12,post_midnight,94,4.01,0
20,male,1834,1.99286333135,11,afternoon,46,17.99,1.60943791243
21,female,612,0.629723479781,6,afternoon,758,2.963,1.09861228867
?,male,369,0.556525024217,1,post_midnight,528,3.068,0.69314718056
?,male,2119,0.779786954946,10,post_midnight,21,3.37,1.09861228867
18,female,939,1.01150793651,7,evening,953,4.065,0.0
?,male,1125,1.65308527055,12,post_midnight,52,6.798,0.0
29,male,1177,0.30504389808,3,post_midnight,0,15.663,0.0
20,female,1653,0.72544069008,5,early morning,4,14.09,1.79175946923
?,female,None,0.809643535985,12,post_midnight,34,5.922,0.69314718056
?,female,229,0.696821457102,5,night,42,5.27,0.69314718056
20,male,672,0.538845068037,3,early morning,113,4.91,1.94591014906
?,male,3194,0.61009462094,1,night,12,3.7,0.0
21,female,632,0,2,afternoon,77,6.22,0
?,female,946,0.733646426321,7,post_midnight,263,3.7,0
?,male,581,0.666255789932,5,afternoon,2416,2.568,2.56494935746
?,female,1356,0.574098034032,6,post_midnight,70,9.38,1.38629436112
?,female,752,0.414304643124,4,night,166,3.785,0
?,male,870,0.396363672813,6,post_midnight,2,11.05,0.0
?,female,839,0.617833798394,3,night,106,6.697,2.19722457734
?,female,559,0.612816320878,3,night,48,1.736,0
21,female,632,0.836460490801,8,evening,104,6.22,2.07944154168
46,male,541,0.469759692374,10,morning,20,3.835,0
20,male,671,0.763030628709,12,afternoon,0,1.887,0
46,male,541,0.554431283675,10,afternoon,23,3.835,0
?,female,1793,0.978495782866,4,post_midnight,73,17.01,4.06044301055
21,male,667,0.671747130959,1,post_midnight,25,1.644,0.0
18,female,939,0.511098156677,8,evening,18,4.065,1.09861228867
?,male,142,0.67366432864,12,night,353,1.395,0
20,female,1041,1.13037335055,12,evening,44,2.967,0.0
?,male,862,0.679721514105,8,post_midnight,194,11.38,2.19722457734
?,female,1122,0,7,post_midnight,92,6.01,0.0
21,female,632,2.67764161125,3,afternoon,336,6.22,2.07944154168
?,female,1056,0.688130118435,4,afternoon,141,8.03,0.69314718056
?,female,1701,0.530930653663,3,post_midnight,75,11.54,2.7080502011
?,female,2486,0.612706087182,1,afternoon,589,6.95,1.79175946923
?,male,1339,0.478571428571,1,afternoon,308,18.582,0.0
20,male,783,0.925295330211,1,early morning,849,7.737,2.30258509299
?,male,2197,2.20725947772,6,afternoon,592,13.266,0.69314718056
?,male,843,0.703318385891,3,evening,22,7.46,2.83321334406
