@relation training

@attribute 'age' numeric
@attribute 'gender' {male,female}
@attribute 'friend_count' numeric
@attribute 'message_score' numeric
@attribute 'month' {1,2,3,4,5,6,7,8,9,10,11,12}
@attribute 'time_of_day' {early_morning,morning,noon,afternoon,evening,night,post_midnight}
@attribute 'time_since_last' numeric
@attribute 'average_user_likes' numeric
@attribute 'likes' numeric 

@data
21,male,625,0,6,post_midnight,78,3.551,0.0
?,female,522,1.34687919997,8,night,121,3.73,0.0
?,male,728,1.14693695495,8,afternoon,107,5.4,0.69314718056
?,male,1192,0.959072379873,6,post_midnight,57,8.08,2.30258509299
?,female,729,1.24038571791,8,afternoon,112,10.08,2.30258509299
21,male,675,0.620021346214,7,afternoon,235,3.349,1.09861228867
22,female,364,0.31328320802,10,night,97,7.75,2.7080502011
?,male,1273,0.885015162078,4,afternoon,292,11.99,2.77258872224
21,male,1075,0.793306954002,2,afternoon,156,7.606,2.8903717579
?,female,733,0.902664881154,1,evening,65,7.18,1.60943791243
?,male,577,0.483732403914,4,post_midnight,32,1.571,0
19,male,812,0.856834015852,11,early_morning,0,8.56,2.48490664979
?,female,801,1.17958442911,12,post_midnight,63,2.818,1.60943791243
?,male,281,0.61719934204,8,night,691,3.846,1.94591014906
?,female,707,0.83473266515,1,early_morning,625,11.37,2.3978952728
?,female,996,2.17763569963,12,post_midnight,2731,6.644,3.87120101091
22,male,1267,0.775314715987,3,night,138,11.02,2.30258509299
22,male,1026,0.543200514999,5,post_midnight,294,3.59,0
?,female,1204,0.863488330957,6,night,260,10.619,3.13549421593
?,male,1267,0.590301115769,12,early_morning,95,10.45,1.79175946923
?,male,?,0.0185185185185,6,post_midnight,?,8.063,0
?,male,?,0.766301069732,2,evening,305,22.21,2.56494935746
?,female,571,0.519383231265,6,night,19,3.05,0
?,female,766,0.744293012406,4,evening,72,11.574,1.94591014906
?,female,687,0.531961886988,6,early_morning,118,2.612,0
?,male,1092,0.82401045815,8,afternoon,2172,6.85,3.21887582487
?,male,485,0.688237544236,2,post_midnight,45,10.75,0.0
?,female,1002,0.721624994991,5,post_midnight,1,11.03,1.09861228867
?,female,571,0.750499486038,6,night,23,3.05,0
21,male,1748,0.970996183975,9,morning,185,16.27,3.58351893846
?,female,668,0.614598829923,10,night,209,6.07,1.60943791243
?,male,1245,4.71775793651,7,evening,118,12.93,2.63905732962
20,male,1017,0.465455389479,12,post_midnight,1557,4.84,1.60943791243
?,female,981,1.02672939613,7,early_morning,5,17.38,1.60943791243
?,male,1063,0.765166146043,6,afternoon,367,3.262,1.60943791243
?,female,1271,1.27957325707,6,post_midnight,50,6.263,0.69314718056
?,male,?,0,9,post_midnight,34,2.6,1.60943791243
?,female,621,0.832096854541,4,night,19,3.505,1.09861228867
?,female,1487,0.857590319821,4,early_morning,1160,11.051,2.7080502011
?,male,1290,0.919376001406,3,afternoon,75,7.6,0.0
?,female,?,0.6576528717,8,post_midnight,3,3.84,0.0
19,female,2595,1.0524690542,11,evening,117,8.69,1.38629436112
?,male,?,0.578004942156,4,night,41,22.21,2.8903717579
22,male,838,0.711075842406,4,post_midnight,28,2.61,0.69314718056
?,male,847,0.675524105883,7,afternoon,211,19.43,1.60943791243
?,female,1135,0,7,post_midnight,142,5.76,1.79175946923
?,female,797,0.6231602127,5,evening,310,5.717,0.0
19,female,1215,0.838798461492,6,early_morning,7,11.351,1.38629436112
?,male,?,0.658110909841,1,early_morning,563,2.34,1.09861228867
43,female,622,1.83051378446,5,evening,408,15.16,2.19722457734
?,male,1463,0.595453665119,11,post_midnight,96,19.85,2.99573227355
?,female,1174,0.903933963861,6,evening,45,8.38,0.69314718056
?,male,1092,1.21926718545,1,post_midnight,115,6.85,0.69314718056
?,female,996,0.222222222222,1,early_morning,339,6.644,0.0
