@relation training

@attribute 'age' numeric
@attribute 'gender' {male,female}
@attribute 'friend_count' numeric
@attribute 'message_score' numeric
@attribute 'month' numeric
@attribute 'hour' numeric
@attribute 'time_since_last' numeric
@attribute 'likes' numeric 

@data
?,male,1464,0.520097946087,10,22,293048,1
?,male,1464,0.729997476268,10,2,1060046,2
?,male,1464,0.77158497765,9,17,767979,2
?,male,1464,1.34537563131,8,0,130254,4
?,male,1464,0.939485514486,7,3,1684683,3
?,male,1464,0.585410527519,6,0,302815,1
?,male,1464,0.591464591639,6,18,?,8
?,male,1208,0.574951093516,3,23,862801,4
?,male,1208,0.980470978965,2,11,155837,2
?,male,1208,0.848006469625,2,2,36350,9
?,male,1208,0.670289703058,1,12,135555,5
?,male,1208,0.464675115431,1,17,1450435,2
?,male,1208,3.5,12,22,105655,7
?,male,1208,0.742368271906,12,22,176739,14
?,male,1208,0.68720223697,11,15,90080,3
?,male,1208,1.27614219002,11,17,67294,9
?,male,1208,0.657472245624,11,18,176027,3
?,male,1208,0.622611631722,11,22,179946,8
?,male,1208,0.591056713724,11,1,387413,2
?,male,1208,0.740541020941,10,22,260976,3
?,male,1208,0.85319893798,10,13,88552,5
?,male,1208,0.835600750334,10,22,201092,4
?,male,1208,0.700838947472,10,4,376454,0
?,male,1208,0.846174083631,9,22,90452,5
?,male,1208,1.1209460867,9,2,426834,7
?,male,1208,0.900438373811,9,20,273791,1
?,male,1208,0.958701937404,8,13,84546,6
?,male,1208,1.17095785983,8,9,371171,3
?,male,1208,0.875587844295,8,22,266009,1
?,male,1208,0.788152617097,8,20,159121,7
?,male,1208,0.672741626263,8,15,85635,0
?,male,1208,1.04388499628,7,6,118247,3
?,male,1208,0.750398701793,7,20,499180,5
?,male,1208,0.66240436423,7,1,280757,8
?,male,1208,0.600622166356,6,22,145879,0
?,male,1208,0.717495573087,6,4,133069,4
?,male,1208,1.19140468617,6,5,134927,19
?,male,1208,0.782065671973,6,19,53867,2
?,male,1208,0.901586533261,6,16,46148,1
?,male,1208,1.08524420358,5,2,206994,20
?,male,1208,0.922804885813,5,18,?,6
25,male,?,1.2911417735,2,19,834065,17
25,male,?,0.945518631863,1,17,1560337,2
25,male,?,0.736335575043,12,3,618222,17
25,male,?,0.68585203453,10,15,436157,2
25,male,?,1.32300683547,9,15,1179155,10
25,male,?,0.531660971701,8,4,651069,2
25,male,?,0.00909090909091,8,7,1194723,0
25,male,?,0.61779784992,6,4,1000806,5
25,male,?,0,6,4,484569,4
25,male,?,0.640093855438,5,15,614332,6
25,male,?,0.523631715985,3,20,612366,4
25,male,?,0.821052994976,3,4,204716,3
25,male,?,0.672737094858,3,1,857560,12
25,male,?,1.16569290766,2,2,361985,8
25,male,?,0,2,5,379071,0
25,male,?,0,1,4,102,1
25,male,?,0.764889461449,12,18,420692,12
